COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD
22180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22200,,,,"[0, 0, 0, 2, 3]",,"[0, 2, 0, 1, 1]",,"[0, 0, 0, 2, 1]",,,,,"[0, 0, 2, 0, 3]",,"[0, 2, 1, 0, 1]",,"[0, 1, 0, 1, 1]",,,,,"[1, 1, 2, 0, 1]",,"[0, 0, 2, 0, 1]",,"[0, 1, 0, 2, 0]",,,,,"[0, 0, 1, 1, 3]",,"[0, 0, 2, 0, 2]",,"[0, 1, 0, 1, 1]",
22201,,,,,"[0, 0, 0, 2, 4]",,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 1, 3]",,,,,"[0, 0, 0, 1, 5]",,"[0, 0, 0, 2, 3]",,"[0, 0, 0, 1, 3]",,,,,"[0, 1, 3, 0, 2]",,"[1, 0, 0, 1, 3]",,"[0, 1, 0, 0, 3]",,,,,"[0, 0, 3, 3, 0]",,"[0, 0, 3, 2, 0]",,"[0, 0, 2, 1, 1]"
22202,,,,,"[0, 3, 1, 7, 2]",,"[0, 4, 4, 3, 4]",,"[1, 7, 10, 9, 9]",,,,,"[0, 3, 3, 3, 4]",,"[1, 4, 3, 4, 2]",,"[3, 5, 6, 7, 13]",,,,,"[0, 3, 4, 2, 4]",,"[0, 0, 2, 3, 9]",,"[2, 0, 7, 8, 17]",,,,,"[0, 2, 9, 2, 0]",,"[0, 2, 9, 3, 0]",,"[0, 5, 16, 10, 3]"
22203,,,,"[0, 0, 0, 0, 1]",,"[0, 0, 0, 1, 0]",,"[0, 0, 3, 3, 3]",,,,,"[0, 0, 0, 0, 1]",,"[0, 0, 0, 1, 0]",,"[0, 1, 3, 2, 3]",,,,,"[0, 0, 0, 0, 1]",,"[0, 0, 1, 0, 0]",,"[0, 1, 1, 3, 4]",,,,,"[0, 0, 1, 0, 0]",,"[0, 1, 0, 0, 0]",,"[0, 0, 5, 3, 1]",
22205,,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]"
22206,,,,,"[0, 0, 0, 0, 0]",,"[0, 1, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,"[0, 0, 0, 0, 0]",,"[1, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 1, 0]",,"[0, 0, 0, 0, 0]",,,,,"[0, 0, 0, 0, 0]",,"[0, 1, 0, 0, 0]",,"[0, 0, 0, 0, 0]"
22207,,,,"[0, 0, 0, 1, 1]",,"[0, 0, 0, 1, 2]",,,,,,,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 3]",,,,,,,"[0, 0, 0, 2, 0]",,"[0, 0, 0, 2, 1]",,,,,,,"[0, 1, 1, 0, 0]",,"[0, 1, 2, 0, 0]",,,
22208,,,,"[0, 0, 5, 13, 16]",,"[0, 3, 7, 15, 11]",,"[0, 1, 3, 18, 19]",,,,,"[1, 2, 8, 10, 13]",,"[3, 10, 7, 10, 6]",,"[3, 7, 8, 9, 13]",,,,,"[7, 9, 13, 3, 2]",,"[15, 8, 8, 4, 1]",,"[9, 10, 13, 4, 3]",,,,,"[0, 3, 21, 7, 3]",,"[2, 2, 24, 6, 2]",,"[0, 4, 24, 9, 2]",
22230,,,,,"[1, 4, 4, 13, 8]",,"[0, 2, 2, 14, 10]",,"[2, 6, 6, 14, 10]",,,,,"[2, 3, 7, 10, 8]",,"[1, 6, 3, 11, 7]",,"[1, 7, 8, 12, 9]",,,,,"[3, 2, 9, 10, 6]",,"[5, 6, 7, 7, 3]",,"[2, 3, 13, 9, 10]",,,,,"[1, 2, 21, 4, 2]",,"[1, 0, 16, 6, 5]",,"[1, 5, 23, 5, 3]"
22231,,,,"[0, 3, 4, 5, 5]",,"[0, 2, 2, 7, 5]",,"[1, 2, 7, 8, 6]",,,,,"[0, 3, 2, 9, 3]",,"[1, 2, 3, 8, 2]",,"[1, 2, 8, 5, 8]",,,,,"[0, 3, 2, 9, 3]",,"[0, 0, 1, 6, 9]",,"[0, 2, 3, 6, 13]",,,,,"[0, 2, 10, 4, 1]",,"[0, 1, 12, 1, 2]",,"[3, 4, 6, 9, 2]",
22232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22235,,,,,"[1, 3, 6, 9, 11]",,"[0, 3, 3, 10, 8]",,"[3, 8, 6, 20, 16]",,,,,"[2, 2, 9, 7, 10]",,"[1, 4, 2, 12, 5]",,"[4, 11, 9, 15, 14]",,,,,"[2, 4, 7, 11, 6]",,"[0, 4, 4, 6, 10]",,"[9, 13, 12, 10, 8]",,,,,"[0, 0, 15, 13, 2]",,"[0, 1, 13, 8, 2]",,"[1, 4, 20, 17, 10]"
22236,,,,,"[0, 2, 4, 4, 7]",,"[0, 6, 3, 4, 2]",,"[0, 0, 3, 9, 17]",,,,,"[1, 2, 4, 6, 4]",,"[3, 6, 2, 4, 0]",,"[1, 4, 4, 6, 13]",,,,,"[2, 1, 6, 6, 2]",,"[3, 7, 4, 1, 0]",,"[1, 8, 6, 7, 6]",,,,,"[0, 0, 1, 12, 4]",,"[0, 2, 12, 1, 0]",,"[0, 1, 12, 10, 6]"
22237,,,,,,"[0, 1, 1, 3, 6]",,"[1, 1, 5, 7, 4]",,,,,,,"[0, 1, 2, 3, 5]",,"[1, 3, 4, 7, 3]",,,,,,,"[0, 1, 3, 3, 4]",,"[3, 2, 4, 7, 2]",,,,,,,"[0, 1, 8, 2, 0]",,"[0, 5, 10, 1, 2]",
22281,,,,,"[0, 0, 5, 9, 8]",,"[0, 1, 1, 8, 13]",,"[1, 2, 2, 9, 11]",,,,,"[0, 3, 5, 9, 5]",,"[1, 1, 4, 6, 11]",,"[1, 2, 2, 9, 11]",,,,,"[0, 3, 3, 12, 3]",,"[2, 3, 4, 6, 8]",,"[0, 2, 0, 13, 10]",,,,,"[0, 2, 12, 7, 1]",,"[0, 1, 8, 4, 10]",,"[1, 1, 8, 10, 5]"
22282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22283,,,,"[0, 1, 0, 2, 4]",,"[0, 0, 0, 1, 1]",,"[0, 1, 2, 5, 3]",,,,,"[0, 1, 3, 0, 3]",,"[0, 0, 0, 0, 2]",,"[1, 1, 5, 2, 2]",,,,,"[0, 2, 2, 0, 3]",,"[0, 0, 0, 0, 1]",,"[1, 0, 4, 0, 6]",,,,,"[0, 0, 1, 4, 2]",,"[0, 0, 1, 0, 1]",,"[0, 1, 3, 4, 3]",
22284,,,,"[0, 0, 0, 0, 0]","[0, 0, 1, 2, 3]",,"[0, 1, 1, 3, 4]",,"[0, 1, 2, 11, 12]",,,,"[0, 0, 0, 0, 0]","[0, 0, 1, 2, 3]",,"[0, 1, 1, 3, 4]",,"[0, 2, 6, 7, 11]",,,,"[0, 0, 0, 0, 0]","[0, 0, 1, 4, 1]",,"[0, 0, 1, 4, 4]",,"[0, 2, 4, 14, 6]",,,,"[0, 0, 0, 0, 0]","[0, 0, 2, 4, 0]",,"[0, 0, 5, 2, 2]",,"[0, 5, 12, 4, 4]"
22285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22400,,,,,"[0, 5, 11, 12, 8]",,"[1, 0, 2, 3, 2]",,"[0, 3, 8, 9, 11]",,,,,"[0, 0, 7, 14, 14]",,"[0, 2, 0, 2, 4]",,"[0, 2, 7, 7, 15]",,,,,"[0, 1, 4, 8, 23]",,"[0, 1, 0, 1, 6]",,"[0, 1, 3, 6, 21]",,,,,"[2, 6, 21, 3, 4]",,"[0, 0, 3, 3, 2]",,"[0, 4, 15, 9, 3]"
22403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22433,,,,,,"[1, 8, 11, 19, 5]",,"[4, 10, 13, 15, 7]",,,,,,,"[4, 14, 14, 10, 2]",,"[6, 10, 19, 7, 5]",,,,,,,"[5, 21, 9, 9, 0]",,"[6, 10, 14, 13, 4]",,,,,,,"[0, 2, 10, 16, 16]",,"[2, 1, 9, 23, 12]",
22435,,,,"[1, 1, 6, 10, 8]",,"[1, 1, 5, 5, 11]",,"[0, 4, 5, 16, 13]",,,,,"[2, 2, 4, 14, 4]",,"[3, 1, 4, 8, 7]",,"[1, 5, 3, 14, 12]",,,,,"[0, 3, 6, 12, 5]",,"[1, 5, 3, 7, 7]",,"[2, 4, 6, 10, 14]",,,,,"[0, 7, 14, 3, 2]",,"[0, 2, 14, 4, 3]",,"[1, 5, 20, 7, 3]",
22437,,,,,,,"[0, 1, 3, 2, 1]",,"[6, 5, 12, 25, 6]",,,,,,,"[2, 0, 3, 1, 1]",,"[8, 8, 8, 21, 8]",,,,,,,"[3, 1, 2, 1, 0]",,"[2, 10, 9, 20, 12]",,,,,,,"[0, 0, 6, 1, 0]",,"[2, 7, 22, 16, 6]"
22446,,,,,,,,,"[0, 0, 1, 8, 35]",,,,,,,,,"[0, 0, 0, 12, 32]",,,,,,,,,"[1, 2, 5, 17, 19]",,,,,,,,,"[3, 4, 20, 8, 9]"
22451,,,,"[0, 0, 0, 1, 1]",,"[0, 0, 0, 4, 6]",,"[0, 1, 0, 7, 7]",,,,,"[0, 0, 1, 0, 1]",,"[0, 0, 2, 1, 7]",,"[0, 2, 2, 7, 4]",,,,,"[0, 0, 1, 1, 0]",,"[0, 0, 0, 2, 8]",,"[0, 1, 2, 7, 5]",,,,,"[0, 0, 2, 0, 0]",,"[0, 1, 4, 2, 3]",,"[1, 4, 8, 0, 2]",
22475,,,,"[1, 1, 3, 8, 9]",,"[0, 0, 1, 2, 6]",,"[1, 0, 0, 4, 8]",,,,,"[1, 1, 3, 10, 6]",,"[0, 0, 2, 1, 6]",,"[1, 0, 1, 6, 5]",,,,,"[0, 2, 2, 6, 12]",,"[0, 0, 0, 1, 8]",,"[1, 0, 0, 2, 10]",,,,,"[0, 4, 7, 7, 4]",,"[0, 0, 1, 7, 1]",,"[0, 0, 8, 4, 1]",
22481,,,,"[0, 1, 1, 8, 13]",,"[0, 0, 8, 20, 11]",,"[0, 0, 1, 3, 5]",,,,,"[0, 2, 1, 4, 16]",,"[0, 7, 13, 10, 9]",,"[0, 1, 2, 1, 5]",,,,,"[0, 2, 2, 7, 12]",,"[0, 5, 6, 13, 15]",,"[0, 1, 0, 4, 4]",,,,,"[0, 0, 11, 11, 1]",,"[0, 2, 15, 15, 7]",,"[0, 2, 1, 4, 2]",
22485,,,,"[0, 0, 1, 0, 10]",,"[1, 0, 0, 0, 8]",,"[0, 0, 0, 2, 6]",,,,,"[0, 1, 2, 0, 8]",,"[0, 1, 0, 3, 5]",,"[0, 0, 0, 1, 6]",,,,,"[0, 0, 2, 3, 6]",,"[0, 0, 3, 4, 2]",,"[0, 0, 1, 1, 5]",,,,,"[0, 0, 3, 5, 3]",,"[0, 0, 4, 4, 1]",,"[0, 0, 5, 2, 0]",
22486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22506,,,,,"[0, 0, 0, 3, 3]",,"[0, 0, 0, 1, 7]",,"[0, 0, 2, 3, 9]",,,,,"[0, 1, 1, 0, 4]",,"[0, 0, 1, 2, 5]",,"[0, 1, 0, 7, 6]",,,,,"[0, 0, 1, 2, 3]",,"[0, 0, 1, 3, 4]",,"[0, 0, 2, 4, 8]",,,,,"[0, 0, 2, 1, 3]",,"[0, 0, 4, 4, 0]",,"[0, 0, 4, 8, 2]"
22507,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 1, 0]",,"[0, 0, 0, 0, 2]",,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 1]",,"[1, 0, 0, 0, 2]",,,,,"[0, 0, 0, 0, 0]",,"[0, 1, 0, 0, 0]",,"[1, 0, 1, 0, 1]",,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 1]",,"[0, 0, 1, 0, 2]",
22508,,,,,"[0, 0, 0, 1, 8]",,"[0, 0, 0, 5, 6]",,"[0, 0, 0, 0, 6]",,,,,"[0, 0, 0, 1, 8]",,"[0, 1, 0, 4, 6]",,"[0, 0, 1, 1, 4]",,,,,"[1, 0, 0, 3, 5]",,"[0, 1, 1, 4, 5]",,"[0, 0, 0, 1, 5]",,,,,"[0, 0, 5, 1, 3]",,"[1, 3, 6, 0, 1]",,"[0, 1, 4, 1, 0]"
22510,,,,"[1, 0, 0, 2, 6]",,"[0, 1, 0, 2, 4]",,,"[0, 0, 0, 4, 14]",,,,"[0, 0, 0, 1, 7]",,"[0, 0, 1, 2, 4]",,,"[0, 0, 0, 2, 15]",,,,"[0, 1, 4, 1, 3]",,"[0, 3, 0, 1, 3]",,,"[0, 0, 3, 7, 7]",,,,"[0, 3, 4, 2, 0]",,"[0, 3, 3, 0, 1]",,,"[0, 0, 6, 6, 5]"
22511,,,,"[0, 1, 1, 3, 4]",,"[0, 0, 1, 3, 2]",,"[0, 0, 0, 3, 4]",,,,,"[0, 1, 2, 4, 2]",,"[0, 0, 1, 2, 3]",,"[0, 0, 0, 3, 4]",,,,,"[1, 3, 1, 3, 1]",,"[0, 0, 2, 1, 3]",,"[0, 0, 0, 1, 6]",,,,,"[0, 3, 5, 1, 0]",,"[0, 0, 5, 1, 0]",,"[0, 1, 6, 0, 0]",
22512,,,,"[0, 0, 0, 2, 3]",,"[0, 1, 1, 3, 3]",,"[0, 0, 1, 3, 3]",,,,,"[0, 1, 0, 1, 3]",,"[0, 1, 1, 2, 4]",,"[0, 0, 0, 5, 2]",,,,,"[0, 0, 3, 2, 0]",,"[0, 1, 0, 2, 5]",,"[0, 0, 0, 2, 5]",,,,,"[0, 2, 3, 0, 0]",,"[0, 2, 4, 2, 0]",,"[1, 0, 4, 1, 1]",
22513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22525,,,,"[0, 0, 0, 1, 3]",,"[0, 1, 2, 2, 4]",,"[0, 1, 0, 0, 8]",,,,,"[0, 0, 1, 1, 2]",,"[0, 3, 1, 2, 3]",,"[0, 0, 0, 0, 8]",,,,,"[0, 0, 0, 1, 3]",,"[0, 5, 1, 2, 1]",,"[0, 0, 0, 0, 8]",,,,,"[0, 0, 0, 3, 1]",,"[0, 2, 1, 3, 3]",,"[0, 0, 5, 2, 1]",
22530,,,,,,"[0, 0, 0, 0, 1]",,"[0, 1, 0, 0, 4]",,,,,,,"[0, 0, 0, 0, 1]",,"[1, 0, 0, 0, 4]",,,,,,,"[0, 0, 0, 1, 0]",,"[1, 0, 0, 0, 4]",,,,,,,"[0, 0, 0, 1, 0]",,"[0, 0, 2, 3, 0]",
22600,,,,"[1, 3, 7, 15, 13]",,"[0, 0, 3, 9, 4]",,"[1, 9, 4, 8, 9]",,,,,"[2, 8, 11, 12, 5]",,"[0, 4, 4, 6, 2]",,"[8, 8, 6, 7, 2]",,,,,"[0, 2, 10, 7, 19]",,"[0, 2, 1, 7, 6]",,"[2, 2, 7, 12, 8]",,,,,"[1, 9, 19, 9, 0]",,"[1, 0, 12, 2, 1]",,"[2, 10, 15, 3, 1]",
22602,,,,,"[0, 0, 1, 3, 1]",,"[0, 0, 0, 2, 5]",,"[0, 1, 0, 3, 13]",,,,,"[0, 0, 1, 3, 1]",,"[0, 0, 2, 1, 4]",,"[2, 0, 0, 3, 12]",,,,,"[1, 0, 1, 2, 1]",,"[0, 0, 0, 0, 7]",,"[0, 1, 2, 2, 12]",,,,,"[0, 0, 2, 2, 1]",,"[0, 0, 3, 3, 1]",,"[0, 1, 12, 1, 3]"
22603,,,,,,,,"[0, 1, 0, 6, 3]",,,,,,,,,"[0, 0, 3, 6, 1]",,,,,,,,,"[0, 1, 2, 3, 4]",,,,,,,,,"[0, 2, 8, 0, 0]",
22652,,,,"[0, 0, 0, 3, 2]","[0, 0, 1, 2, 4]","[0, 0, 0, 1, 6]","[0, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]",,,,"[0, 0, 1, 1, 3]","[0, 0, 1, 2, 4]","[0, 0, 0, 1, 6]","[0, 0, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]",,,,"[2, 0, 0, 1, 2]","[0, 0, 3, 0, 4]","[0, 0, 0, 2, 5]","[0, 0, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]",,,,"[0, 0, 2, 2, 1]","[0, 0, 5, 0, 2]","[0, 0, 5, 0, 2]","[0, 0, 1, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]"
22653,,,,,,,"[0, 0, 0, 0, 1]",,,,,,,,,"[0, 0, 0, 0, 1]",,,,,,,,,"[0, 0, 0, 0, 1]",,,,,,,,,"[0, 0, 1, 0, 0]",,
22654,,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]"
22655,,,,,,,"[0, 0, 0, 0, 1]",,,,,,,,,"[0, 0, 0, 0, 1]",,,,,,,,,"[0, 0, 1, 0, 0]",,,,,,,,,"[0, 0, 1, 0, 0]",,
22656,,,,"[0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 1]",,,,,,,"[0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 1]",,,,,,,"[0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 1]",,,,,,,"[0, 0, 0, 1, 0]",,"[0, 0, 1, 0, 0]",,,
22680,,,,"[1, 1, 2, 1, 8]",,"[0, 3, 1, 2, 2]",,"[0, 1, 1, 3, 2]",,,,,"[1, 1, 1, 4, 6]",,"[3, 1, 2, 1, 1]",,"[0, 1, 3, 2, 1]",,,,,"[0, 2, 4, 2, 5]",,"[0, 0, 1, 3, 4]",,"[0, 2, 0, 1, 3]",,,,,"[0, 1, 4, 6, 2]",,"[0, 1, 3, 2, 2]",,"[0, 0, 5, 1, 0]",
22681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23101,,"[2, 6, 9, 10, 1]",,"[0, 12, 8, 15, 4]",,"[2, 9, 6, 19, 6]",,"[0, 1, 5, 17, 8]",,,"[1, 7, 8, 12, 0]",,"[4, 7, 8, 14, 6]",,"[1, 2, 10, 16, 13]",,"[1, 1, 5, 12, 12]",,,"[1, 4, 11, 10, 2]",,"[2, 3, 8, 10, 15]",,"[1, 2, 4, 13, 22]",,"[1, 0, 2, 16, 12]",,,"[2, 10, 13, 2, 0]",,"[0, 4, 28, 5, 2]",,"[1, 4, 21, 15, 1]",,"[0, 2, 18, 8, 3]",
23102,"[0, 5, 6, 14, 0]",,"[2, 2, 3, 5, 4]",,"[3, 2, 4, 12, 8]",,"[1, 5, 7, 8, 4]",,"[0, 0, 7, 10, 9]","[0, 4, 12, 4, 5]",,"[2, 1, 7, 4, 2]",,"[1, 4, 7, 11, 6]",,"[0, 4, 9, 10, 2]",,"[0, 3, 10, 5, 8]","[1, 4, 8, 10, 2]",,"[1, 3, 5, 4, 3]",,"[2, 1, 5, 13, 7]",,"[1, 5, 7, 9, 3]",,"[0, 3, 6, 9, 8]","[1, 4, 14, 5, 1]",,"[2, 2, 9, 2, 1]",,"[1, 1, 10, 11, 6]",,"[0, 1, 13, 10, 1]",,"[0, 0, 14, 8, 4]"
23205,,"[0, 0, 2, 4, 9]",,"[2, 2, 9, 9, 10]",,"[0, 1, 4, 5, 6]",,"[3, 9, 13, 18, 8]",,,"[0, 0, 4, 5, 6]",,"[3, 2, 5, 17, 5]",,"[0, 3, 4, 5, 4]",,"[4, 8, 18, 14, 7]",,,"[0, 0, 6, 4, 5]",,"[2, 2, 8, 9, 11]",,"[2, 2, 3, 4, 5]",,"[7, 11, 19, 10, 4]",,,"[1, 1, 10, 1, 2]",,"[1, 5, 18, 5, 3]",,"[0, 3, 11, 0, 2]",,"[2, 12, 25, 9, 2]",
23206,"[1, 4, 7, 8, 6]",,"[0, 3, 2, 12, 3]",,"[1, 1, 3, 6, 3]",,"[0, 0, 2, 2, 8]",,"[0, 0, 4, 3, 5]","[1, 8, 9, 4, 4]",,"[1, 3, 8, 6, 2]",,"[2, 3, 3, 4, 2]",,"[0, 0, 2, 4, 6]",,"[0, 0, 2, 6, 2]","[3, 8, 11, 3, 1]",,"[1, 6, 6, 5, 2]",,"[2, 6, 3, 3, 0]",,"[1, 1, 1, 3, 6]",,"[0, 4, 4, 2, 0]","[4, 8, 11, 2, 1]",,"[0, 5, 13, 2, 0]",,"[1, 1, 6, 3, 2]",,"[1, 0, 4, 3, 2]",,"[0, 3, 5, 2, 0]"
23210,,"[0, 0, 3, 3, 3]",,"[0, 0, 2, 0, 7]",,"[0, 0, 1, 8, 4]",,"[0, 0, 1, 7, 2]",,,"[0, 1, 3, 5, 0]",,"[0, 0, 1, 3, 5]",,"[0, 1, 2, 6, 4]",,"[0, 1, 0, 5, 4]",,,"[0, 1, 5, 3, 0]",,"[0, 1, 2, 3, 3]",,"[1, 4, 2, 2, 4]",,"[0, 0, 2, 5, 3]",,,"[0, 2, 6, 1, 0]",,"[0, 0, 6, 3, 0]",,"[0, 0, 8, 4, 1]",,"[0, 0, 6, 3, 1]",
23211,,,"[0, 1, 0, 12, 4]",,"[0, 1, 4, 5, 10]",,"[0, 3, 4, 9, 10]",,"[0, 1, 4, 6, 12]",,,"[0, 2, 2, 8, 5]",,"[1, 2, 4, 5, 8]",,"[1, 2, 4, 9, 10]",,"[0, 2, 1, 8, 12]",,,"[1, 1, 6, 4, 5]",,"[0, 1, 1, 3, 15]",,"[0, 0, 3, 8, 15]",,"[0, 0, 2, 3, 18]",,,"[0, 1, 10, 4, 2]",,"[0, 0, 9, 9, 1]",,"[0, 0, 12, 8, 6]",,"[0, 0, 11, 9, 3]"
23212,,,,,,,"[0, 0, 1, 0, 1]",,"[0, 0, 2, 2, 1]",,,,,,,"[0, 0, 0, 2, 0]",,"[0, 1, 0, 2, 2]",,,,,,,"[0, 0, 0, 1, 1]",,"[0, 1, 1, 2, 1]",,,,,,,"[1, 0, 0, 1, 0]",,"[0, 1, 4, 0, 0]"
23214,,,,,,,,,"[0, 2, 5, 12, 22]",,,,,,,,,"[0, 4, 4, 14, 19]",,,,,,,,,"[3, 11, 8, 12, 6]",,,,,,,,,"[2, 4, 22, 7, 6]"
23220,,,,"[2, 6, 4, 6, 5]",,"[0, 0, 0, 3, 10]",,,,,,,"[2, 8, 4, 5, 4]",,"[0, 0, 0, 5, 8]",,,,,,,"[1, 2, 2, 10, 8]",,"[0, 0, 0, 3, 10]",,,,,,,"[1, 1, 11, 5, 5]",,"[0, 1, 12, 0, 0]",,,
23255,,,,,"[0, 0, 0, 1, 4]",,"[0, 0, 1, 1, 2]",,"[0, 0, 0, 1, 2]",,,,,"[0, 0, 0, 3, 2]",,"[0, 1, 1, 1, 1]",,"[0, 0, 1, 2, 1]",,,,,"[0, 0, 1, 1, 3]",,"[0, 0, 0, 3, 1]",,"[0, 0, 0, 2, 2]",,,,,"[0, 0, 5, 0, 0]",,"[0, 3, 0, 0, 1]",,"[0, 0, 2, 1, 1]"
23256,,,,,"[0, 0, 0, 0, 4]",,"[0, 1, 0, 3, 4]",,"[0, 0, 0, 4, 2]",,,,,"[0, 0, 0, 1, 3]",,"[1, 0, 1, 3, 3]",,"[0, 0, 0, 4, 1]",,,,,"[0, 0, 0, 2, 2]",,"[0, 0, 0, 3, 5]",,"[0, 0, 0, 3, 2]",,,,,"[0, 2, 1, 1, 0]",,"[0, 1, 3, 3, 1]",,"[0, 1, 4, 0, 0]"
23257,,,,,"[0, 0, 1, 2, 1]",,"[0, 0, 1, 5, 2]",,"[0, 0, 1, 0, 3]",,,,,"[0, 0, 2, 1, 1]",,"[0, 0, 2, 3, 3]",,"[0, 0, 1, 0, 3]",,,,,"[0, 1, 1, 0, 2]",,"[0, 0, 0, 2, 6]",,"[0, 0, 1, 0, 3]",,,,,"[0, 1, 2, 1, 0]",,"[0, 0, 6, 0, 2]",,"[0, 2, 1, 0, 1]"
23258,"[1, 2, 3, 6, 2]",,"[0, 0, 2, 9, 3]",,"[0, 0, 3, 8, 5]",,"[0, 1, 2, 5, 15]",,"[0, 2, 3, 7, 7]","[0, 1, 7, 5, 1]",,"[1, 1, 5, 5, 2]",,"[0, 3, 6, 3, 4]",,"[1, 2, 3, 8, 9]",,"[1, 3, 3, 6, 5]","[1, 4, 4, 4, 1]",,"[1, 1, 9, 3, 0]",,"[1, 2, 3, 7, 3]",,"[2, 3, 4, 9, 5]",,"[2, 4, 5, 6, 1]","[0, 3, 9, 1, 1]",,"[1, 4, 8, 1, 0]",,"[0, 2, 12, 2, 0]",,"[0, 2, 19, 2, 0]",,"[2, 2, 13, 1, 0]"
23260,,,,,,,,"[2, 3, 13, 14, 1]",,,,,,,,,"[6, 7, 5, 13, 2]",,,,,,,,,"[5, 6, 7, 10, 5]",,,,,,,,,"[2, 9, 15, 7, 0]",
23261,,,,,,,,,"[0, 0, 1, 3, 2]",,,,,,,,,"[0, 0, 0, 4, 2]",,,,,,,,,"[0, 0, 2, 3, 1]",,,,,,,,,"[0, 1, 4, 1, 0]"
23262,,,,,,,,,"[0, 1, 2, 2, 3]",,,,,,,,,"[0, 0, 2, 5, 1]",,,,,,,,,"[0, 1, 2, 1, 4]",,,,,,,,,"[1, 1, 4, 1, 1]"
23263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23272,,"[2, 2, 2, 6, 13]",,"[0, 0, 2, 6, 14]",,"[2, 0, 0, 4, 4]",,"[0, 0, 0, 3, 12]",,,"[0, 4, 4, 7, 10]",,"[0, 0, 3, 5, 14]",,"[2, 1, 0, 3, 4]",,"[0, 0, 0, 2, 13]",,,"[1, 1, 8, 8, 7]",,"[0, 1, 6, 4, 11]",,"[2, 1, 2, 1, 4]",,"[1, 0, 2, 6, 6]",,,"[2, 1, 12, 6, 3]",,"[1, 0, 9, 8, 4]",,"[0, 0, 5, 4, 1]",,"[0, 0, 4, 9, 2]",
