COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD
01035,"[3, 5, 15, 31, 27]","[2, 9, 23, 65, 40]","[0, 2, 6, 18, 28]","[4, 11, 22, 60, 28]","[0, 0, 5, 18, 37]","[4, 6, 18, 48, 43]","[0, 1, 2, 11, 19]","[0, 5, 13, 60, 64]","[0, 1, 1, 14, 50]","[3, 6, 9, 28, 35]","[4, 6, 27, 57, 45]","[0, 2, 10, 15, 27]","[7, 19, 34, 45, 20]","[0, 2, 7, 21, 30]","[12, 24, 33, 31, 18]","[1, 1, 9, 7, 13]","[3, 17, 33, 56, 32]","[3, 1, 6, 17, 39]","[9, 18, 26, 19, 8]","[7, 25, 45, 46, 16]","[0, 2, 11, 17, 24]","[3, 6, 20, 44, 52]","[0, 3, 0, 22, 35]","[3, 4, 28, 54, 29]","[0, 1, 6, 5, 19]","[1, 0, 12, 51, 76]","[0, 5, 6, 16, 38]","[2, 8, 46, 23, 2]","[3, 16, 72, 37, 11]","[1, 4, 25, 17, 7]","[0, 14, 70, 31, 10]","[1, 3, 29, 20, 7]","[2, 14, 56, 31, 15]","[2, 4, 10, 10, 5]","[1, 16, 73, 41, 10]","[1, 18, 30, 13, 4]"
01037,"[2, 2, 7, 30, 40]",,"[5, 5, 6, 40, 79]",,,,"[0, 1, 9, 32, 52]",,"[1, 0, 9, 49, 97]","[3, 5, 15, 33, 25]",,"[3, 11, 16, 53, 52]",,,,"[0, 5, 16, 41, 32]",,"[0, 10, 26, 62, 58]","[6, 10, 20, 29, 16]",,"[4, 26, 29, 49, 26]",,,,"[1, 4, 13, 33, 43]",,"[2, 9, 24, 58, 63]","[1, 18, 26, 21, 15]",,"[4, 24, 63, 36, 8]",,,,"[3, 18, 42, 19, 13]",,"[6, 44, 56, 37, 12]"
01125,,"[0, 2, 1, 9, 16]",,"[1, 3, 2, 6, 10]",,"[0, 1, 0, 11, 19]",,"[0, 0, 0, 5, 13]",,,"[0, 1, 3, 15, 8]",,"[4, 1, 3, 6, 8]",,"[1, 0, 6, 18, 6]",,"[0, 0, 4, 4, 10]",,,"[0, 1, 5, 6, 15]",,"[0, 0, 3, 4, 15]",,"[0, 3, 1, 15, 12]",,"[0, 0, 3, 3, 11]",,,"[1, 4, 13, 8, 2]",,"[0, 0, 8, 10, 3]",,"[0, 11, 11, 6, 3]",,"[0, 2, 8, 6, 1]",
01227,"[0, 1, 3, 11, 19]",,"[1, 0, 0, 6, 14]",,"[0, 4, 7, 9, 7]",,"[0, 0, 4, 8, 7]",,"[0, 2, 2, 7, 18]","[1, 6, 9, 10, 8]",,"[1, 3, 4, 10, 3]",,"[5, 6, 6, 5, 5]",,"[0, 3, 2, 8, 6]",,"[1, 1, 1, 13, 11]","[2, 5, 11, 6, 9]",,"[0, 1, 4, 12, 4]",,"[0, 0, 5, 8, 14]",,"[0, 0, 0, 5, 14]",,"[2, 0, 4, 5, 16]","[1, 10, 16, 7, 0]",,"[1, 9, 10, 1, 0]",,"[0, 2, 13, 11, 1]",,"[0, 4, 13, 2, 0]",,"[0, 3, 22, 1, 1]"
01237,,"[7, 11, 7, 14, 5]",,"[8, 10, 10, 9, 1]",,"[1, 4, 5, 12, 4]",,"[0, 1, 6, 21, 19]",,,"[7, 2, 7, 12, 16]",,"[11, 12, 10, 3, 2]",,"[3, 3, 6, 13, 1]",,"[0, 5, 5, 18, 19]",,,"[11, 14, 10, 8, 1]",,"[6, 14, 8, 4, 6]",,"[2, 6, 6, 8, 4]",,"[0, 1, 2, 10, 34]",,,"[1, 5, 32, 4, 1]",,"[2, 14, 17, 4, 1]",,"[1, 6, 17, 1, 1]",,"[1, 9, 23, 8, 4]",
01238,,,"[0, 0, 0, 2, 4]",,"[0, 0, 1, 3, 1]",,"[1, 0, 0, 4, 5]",,"[0, 3, 3, 3, 3]",,,"[0, 0, 1, 3, 2]",,"[0, 0, 2, 2, 1]",,"[1, 0, 0, 3, 6]",,"[1, 4, 4, 1, 2]",,,"[1, 0, 2, 2, 1]",,"[1, 0, 0, 0, 4]",,"[0, 0, 1, 0, 9]",,"[0, 1, 1, 5, 5]",,,"[0, 1, 4, 1, 0]",,"[0, 0, 4, 1, 0]",,"[1, 0, 7, 2, 0]",,"[0, 1, 4, 7, 0]"
01257,,"[0, 1, 0, 3, 2]",,"[0, 0, 1, 2, 1]",,"[0, 0, 0, 2, 0]",,"[0, 0, 1, 2, 4]",,,"[0, 1, 4, 1, 0]",,"[0, 0, 1, 0, 3]",,"[0, 0, 0, 0, 2]",,"[0, 1, 1, 0, 5]",,,"[0, 0, 1, 4, 1]",,"[0, 0, 1, 2, 1]",,"[0, 0, 0, 0, 2]",,"[0, 0, 1, 1, 5]",,,"[0, 1, 3, 1, 1]",,"[0, 0, 3, 1, 0]",,"[0, 0, 1, 1, 0]",,"[0, 0, 4, 3, 0]",
01325,"[0, 1, 1, 2, 13]",,"[0, 0, 3, 6, 14]",,"[1, 0, 0, 6, 6]",,"[0, 0, 1, 6, 8]",,"[2, 0, 6, 5, 6]","[0, 0, 1, 4, 12]",,"[0, 0, 0, 6, 17]",,"[1, 1, 1, 5, 5]",,"[1, 1, 2, 4, 7]",,"[3, 3, 6, 5, 2]","[1, 0, 0, 7, 8]",,"[0, 0, 2, 5, 16]",,"[1, 0, 1, 3, 8]",,"[0, 3, 0, 5, 7]",,"[1, 6, 2, 5, 5]","[0, 2, 6, 9, 0]",,"[0, 0, 18, 5, 0]",,"[0, 1, 11, 1, 0]",,"[1, 1, 9, 4, 0]",,"[1, 3, 10, 5, 0]"
01405,"[0, 0, 0, 2, 3]",,"[0, 0, 0, 1, 3]",,"[0, 0, 0, 0, 4]",,"[0, 0, 1, 1, 1]",,"[0, 0, 1, 2, 4]","[0, 0, 2, 1, 2]",,"[0, 0, 1, 1, 2]",,"[0, 0, 0, 0, 4]",,"[0, 1, 0, 1, 1]",,"[0, 0, 1, 1, 5]","[0, 0, 0, 2, 3]",,"[0, 0, 2, 0, 2]",,"[0, 0, 0, 0, 4]",,"[0, 0, 1, 0, 2]",,"[0, 0, 1, 2, 4]","[0, 1, 3, 1, 0]",,"[0, 1, 0, 3, 0]",,"[0, 0, 4, 0, 0]",,"[0, 0, 1, 2, 0]",,"[0, 0, 4, 2, 1]"
01410,"[0, 4, 2, 14, 7]",,"[0, 3, 2, 8, 16]",,"[0, 0, 3, 7, 12]",,"[1, 2, 4, 7, 9]",,"[1, 5, 3, 11, 7]","[0, 5, 5, 9, 8]",,"[1, 3, 3, 11, 11]",,"[0, 0, 6, 6, 10]",,"[3, 1, 3, 11, 5]",,"[2, 6, 6, 8, 5]","[1, 2, 10, 8, 6]",,"[1, 4, 4, 9, 11]",,"[0, 1, 5, 5, 11]",,"[0, 0, 2, 6, 15]",,"[1, 3, 6, 11, 6]","[3, 7, 15, 2, 0]",,"[0, 9, 11, 7, 2]",,"[1, 5, 12, 4, 0]",,"[0, 6, 8, 7, 2]",,"[0, 2, 15, 8, 2]"
