(2022-10-13 02:26:36,499) ERROR: scraped_info, 01617: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,501) ERROR: scraped_info, 01621: Timeout when loading URL
(2022-10-13 02:26:36,502) ERROR: scraped_info, 01621: Error when splitting page_source
(2022-10-13 02:26:36,504) ERROR: scraped_info, 01621: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,506) ERROR: scraped_info, 01622: Timeout when loading URL
(2022-10-13 02:26:36,507) ERROR: scraped_info, 01622: Error when splitting page_source
(2022-10-13 02:26:36,508) ERROR: scraped_info, 01622: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,510) ERROR: scraped_info, 01666: Timeout when loading URL
(2022-10-13 02:26:36,511) ERROR: scraped_info, 01666: Error when splitting page_source
(2022-10-13 02:26:36,512) ERROR: scraped_info, 01666: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,515) ERROR: scraped_info, 01715: Timeout when loading URL
(2022-10-13 02:26:36,515) ERROR: scraped_info, 01715: Error when splitting page_source
(2022-10-13 02:26:36,517) ERROR: scraped_info, 01715: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,519) ERROR: scraped_info, 01716: Timeout when loading URL
(2022-10-13 02:26:36,519) ERROR: scraped_info, 01716: Error when splitting page_source
(2022-10-13 02:26:36,521) ERROR: scraped_info, 01716: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,523) ERROR: scraped_info, 01901: Timeout when loading URL
(2022-10-13 02:26:36,524) ERROR: scraped_info, 01901: Error when splitting page_source
(2022-10-13 02:26:36,525) ERROR: scraped_info, 01901: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,528) ERROR: scraped_info, 01904: Timeout when loading URL
(2022-10-13 02:26:36,528) ERROR: scraped_info, 01904: Error when splitting page_source
(2022-10-13 02:26:36,530) ERROR: scraped_info, 01904: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,532) ERROR: scraped_info, 01920: Timeout when loading URL
(2022-10-13 02:26:36,533) ERROR: scraped_info, 01920: Error when splitting page_source
