"filename", "language", "Python", "JSON", "CSV", "HTML", "JavaScript", "CSS", "Draw.io", "Ini", "XML", "comment", "blank", "total"
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\study_line.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\teacher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\test.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_2\web_scraping_tool.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 93
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_3\choose_love.py", "Python", 237, 0, 0, 0, 0, 0, 0, 0, 0, 39, 78, 354
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\sandbox_3\test.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scrape_course_numbers.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 58
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scrape_evaluations.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 61, 36, 235
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scrape_grades.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 0, 39, 26, 160
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scrape_info.py", "Python", 169, 0, 0, 0, 0, 0, 0, 0, 0, 33, 33, 235
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scraped_data\course_numbers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scraped_data\scraped_data.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scraped_data\scraped_evals.csv", "CSV", 0, 0, 1687, 0, 0, 0, 0, 0, 0, 0, 1, 1688
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scraped_data\scraped_grades.csv", "CSV", 0, 0, 1687, 0, 0, 0, 0, 0, 0, 0, 1, 1688
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\scraped_data\scraped_info.csv", "CSV", 0, 0, 1687, 0, 0, 0, 0, 0, 0, 0, 1, 1688
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\folder_1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\folder_1\folder_1_file.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\folder_2\folder_2_file.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\folder_2\subfolder_1\subfolder_file.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\hola.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Aid.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Course co-responsible.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Course type.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Danish title.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Date of examination.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Department involved.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Department.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Duration of Course.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Evaluation.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Exam duration.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\External Institution.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Green challenge participation.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Home page.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Language of instruction.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
